Date,Open,High,Low,Close,Adj Close,Volume
10/22/2015,80.68,82.959999,80.660004,82.889999,74.926254,14823500
10/23/2015,82.410004,83,81.889999,82.980003,75.007607,13215700
10/26/2015,82.519997,82.730003,81.169998,81.220001,73.416702,12576400
10/27/2015,80.57,81.160004,79.730003,81.089996,73.299194,13579400
10/28/2015,81.309998,82.580002,80.93,82.279999,74.374863,12473000
10/29/2015,81.790001,83.220001,81.790001,82.230003,74.329674,10341200
10/30/2015,82.470001,83.879997,81.260002,82.739998,74.790665,18758600
11/02/2015,82.300003,85.93,82.089996,85.279999,77.086632,21266500
11/03/2015,85.660004,87.440002,85.580002,86.849998,78.505791,20115900
11/04/2015,86.769997,87.080002,85.699997,85.980003,77.719376,14245400
11/05/2015,85.550003,86.230003,84.5,84.809998,76.661789,12291100
11/06/2015,83.93,84.470001,83.220001,84.470001,76.354462,12491700
11/09/2015,83.559998,83.599998,81.800003,81.949997,74.722321,13551200
11/10/2015,81.93,82.610001,81.860001,82.349998,75.087044,14238000
11/11/2015,82.419998,82.559998,81.400002,81.620003,74.421432,9598000
11/12/2015,80.57,81.279999,79.32,79.410004,72.406349,16050600
11/13/2015,79.279999,79.580002,77.940002,78.099998,71.211884,17527300
11/16/2015,77.940002,80.989998,77.910004,80.900002,73.764923,14548100
11/17/2015,80.709999,80.879997,79.629997,79.959999,72.907837,10011700
11/18/2015,79.889999,80.900002,79.589996,80.739998,73.619049,10884600
11/19/2015,80.510002,80.779999,80.040001,80.300003,73.21785,9453300
11/20/2015,80.57,80.940002,79.650002,79.790001,72.752823,10144400
11/23/2015,79.599998,80.709999,79.059998,80.279999,73.199615,11868400
11/24/2015,80.349998,82.349998,80.199997,81.879997,74.658501,15055500
11/25/2015,81.300003,82.169998,81.099998,81.25,74.084068,8980400
11/27/2015,80.580002,81.260002,80.459999,81.230003,74.065819,4156600
11/30/2015,81.419998,82.650002,81.25,81.660004,74.457909,17729200
12/01/2015,81.760002,82.129997,81.269997,81.889999,74.667633,13917000
12/02/2015,81.309998,81.639999,79.419998,79.550003,72.533997,16300000
12/03/2015,79.720001,79.849998,78.019997,78.410004,71.494537,14870300
12/04/2015,77.349998,78.980003,77.029999,78.860001,71.904846,20156400
12/07/2015,77.330002,77.5,75.75,76.800003,70.026535,17676100
12/08/2015,75.269997,76.349998,73.790001,74.629997,68.04792,24217600
12/09/2015,74.839996,77.190002,74.730003,75.629997,68.959724,22036300
12/10/2015,75.800003,77.5,75.519997,75.690002,69.014442,20076900
12/11/2015,74.82,75.540001,74.339996,74.339996,67.783485,20473100
12/14/2015,74.300003,76.220001,74.089996,76.029999,69.32444,21976500
12/15/2015,77.43,79.599998,77.330002,79.43,72.424576,24366800
12/16/2015,79.040001,79.610001,78,79.150002,72.169266,17233900
12/17/2015,79.019997,79.230003,77.949997,77.959999,71.084229,17362900
12/18/2015,77.57,78.779999,77.059998,77.279999,70.464203,28836000
12/21/2015,77.790001,78.099998,76.650002,77.260002,70.445969,14460500
12/22/2015,77.699997,77.900002,77.209999,77.650002,70.801575,13855800
12/23/2015,78.68,80.220001,78.32,80.190002,73.117554,15184200
12/24/2015,80.269997,80.269997,79.120003,79.330002,72.333397,5848300
12/28/2015,78.120003,78.860001,77.910004,78.739998,71.795425,9715800
12/29/2015,79.989998,80.080002,78.839996,79.160004,72.178398,8839000
12/30/2015,78.32,78.989998,77.970001,78.110001,71.221016,9314600
12/31/2015,77.510002,78.440002,77.43,77.949997,71.075119,10235700
01/04/2016,77.5,77.940002,76.459999,77.459999,70.628326,20400100
01/05/2016,77.190002,78.139999,76.919998,78.120003,71.230133,11993500
01/06/2016,76.639999,77.639999,76.589996,77.470001,70.637451,18826900
01/07/2016,76.059998,77.989998,75.900002,76.230003,69.506805,21263800
01/08/2016,76.349998,76.650002,74.5,74.690002,68.102631,19033600
01/11/2016,75.010002,75.120003,72.559998,73.690002,67.190819,21353000
01/12/2016,74.120003,75.419998,73.150002,75.199997,68.567642,21864100
